2.62E+03,1.30E+02
3.16E+03,8.40E+01
2.38E+03,7.49E+01
2.98E+03,1.27E+02
2.97E+03,1.82E+02
3.36E+03,5.70E+01
2.48E+03,4.74E+01
3.51E+03,1.11E+02
3.30E+03,8.22E+01
3.06E+03,1.06E+02
3.63E+03,1.07E+02
3.56E+03,5.61E+01
3.52E+03,1.75E+02
3.45E+03,4.96E+01
3.02E+03,1.05E+02
3.42E+03,4.63E+01
2.72E+03,9.76E+01
2.75E+03,6.30E+01
2.88E+03,3.54E+01
2.63E+03,7.43E+01
2.80E+03,4.88E+01
2.37E+03,8.23E+01
2.93E+03,4.20E+01
2.86E+03,3.30E+01
3.14E+03,4.97E+01
2.18E+03,6.80E+01
2.80E+03,5.21E+01
2.53E+03,1.43E+02
2.44E+03,8.46E+01
2.73E+03,1.02E+02
2.64E+03,9.28E+01
2.65E+03,7.64E+01
3.13E+03,8.31E+01
2.70E+03,9.79E+01
2.56E+03,5.24E+01
2.04E+03,1.33E+02
2.56E+03,9.55E+01
2.53E+03,8.15E+01
2.43E+03,6.19E+01
2.59E+03,9.57E+01
2.44E+03,7.40E+01
2.47E+03,1.50E+01
2.61E+03,6.91E+01
3.23E+03,9.95E+01
3.46E+03,7.50E+01
2.80E+03,1.14E+02
2.61E+03,6.37E+01
2.53E+03,6.85E+01
2.67E+03,1.29E+02
2.98E+03,1.01E+02
3.03E+03,1.61E+02
3.10E+03,9.82E+01
3.04E+03,1.28E+02
2.39E+03,5.35E+01
2.31E+03,2.75E+01
2.42E+03,1.40E+02
2.39E+03,5.89E+01
2.69E+03,9.12E+01
2.48E+03,5.06E+01
2.60E+03,5.54E+01
2.50E+03,4.13E+01
2.42E+03,4.65E+01
2.58E+03,4.10E+01
2.64E+03,7.44E+01
2.71E+03,1.42E+02
2.75E+03,1.22E+02
2.99E+03,1.37E+02
2.58E+03,7.31E+01
2.82E+03,4.07E+01
2.90E+03,1.75E+01
2.80E+03,1.40E+02
2.17E+03,9.12E+01
2.37E+03,7.91E+01
2.34E+03,4.73E+01
2.46E+03,4.77E+01
2.71E+03,3.95E+01
2.29E+03,5.89E+01
2.31E+03,4.15E+01
2.37E+03,3.73E+01
2.23E+03,4.60E+01
2.31E+03,5.05E+01
2.37E+03,3.65E+01
2.45E+03,3.24E+01
2.35E+03,1.09E+02
1.99E+03,8.66E+01
2.54E+03,1.23E+02
2.61E+03,9.41E+01
2.11E+03,7.39E+01
2.52E+03,1.10E+02
2.56E+03,1.40E+02
2.26E+03,3.68E+01
2.26E+03,3.35E+01
2.17E+03,3.90E+01
2.38E+03,1.97E+01
2.30E+03,3.48E+01
2.40E+03,3.89E+01
2.52E+03,7.02E+01
2.29E+03,4.31E+01
2.30E+03,3.68E+01
2.19E+03,4.23E+01
2.52E+03,8.51E+01
2.33E+03,1.06E+02
2.21E+03,3.11E+01
2.37E+03,1.49E+02
2.50E+03,7.87E+01
2.44E+03,1.50E+01
2.52E+03,7.51E+01
2.87E+03,9.12E+01
2.34E+03,9.50E+01
2.81E+03,1.16E+02
2.12E+03,4.02E+01
2.06E+03,3.86E+01
2.10E+03,5.14E+01
2.16E+03,2.68E+01
2.18E+03,1.98E+01
2.23E+03,3.27E+01
2.25E+03,2.38E+01
2.21E+03,2.49E+01
2.15E+03,2.76E+01
2.30E+03,4.03E+01
2.17E+03,3.65E+01
2.06E+03,4.90E+01
2.25E+03,4.14E+01
2.04E+03,6.07E+01
2.19E+03,5.30E+01
2.44E+03,8.38E+01
2.77E+03,5.86E+01
2.88E+03,1.55E+02
2.07E+03,3.40E+01
2.10E+03,4.22E+01
2.18E+03,4.60E+01
2.05E+03,3.58E+01
2.30E+03,1.75E+02
2.02E+03,5.47E+01
2.07E+03,2.39E+01
2.07E+03,3.23E+01
2.33E+03,1.25E+02
2.03E+03,2.77E+01
2.33E+03,3.03E+01
2.08E+03,3.62E+01
2.08E+03,4.11E+01
2.31E+03,3.61E+01
2.17E+03,2.18E+01
1.98E+03,4.49E+01
2.31E+03,4.23E+01
2.32E+03,3.38E+01
2.27E+03,4.21E+01
1.97E+03,2.61E+01
2.09E+03,2.80E+01
2.08E+03,1.11E+02
1.92E+03,2.92E+01
1.97E+03,3.83E+01
2.09E+03,9.61E+01
1.92E+03,2.78E+01
1.99E+03,3.87E+01
2.02E+03,2.38E+01
1.90E+03,3.05E+01
2.07E+03,3.76E+01
1.92E+03,3.02E+01
2.06E+03,3.81E+01
2.02E+03,3.38E+01
2.10E+03,3.49E+01
1.87E+03,2.34E+01
2.13E+03,4.39E+01
1.86E+03,3.10E+01
1.96E+03,4.41E+01
2.12E+03,2.67E+01
2.16E+03,4.10E+01
2.00E+03,3.36E+01
